Date,Open,High,Low,Close,Volume,Total Income From Operations,Net P/L After M.I & Associates,Basic EPS,EPS_TTM,Annualized_Sales,Annualized_Profit,Equity Share Capital,Reserves,Borrowings,Total,Avg_Assets,Cash from Operating Activity,Daily_PE,Total_Equity,Net_Margin,Asset_Turnover,Equity_Multiplier,DuPont_ROE,Debt_to_Equity,Earnings_Quality,Earnings_Yield
2020-02-12,589.7115734966399,593.3582346641225,589.1669937125963,591.51123046875,6297930.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.750166131194526,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.428354445008525
2020-02-13,596.6733008644125,596.6733008644125,584.2179181807978,587.9119262695312,9112140.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.696921986235669,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.498320918396958
2020-02-14,588.7643573113077,591.2270486728398,575.4092038524705,577.4692993164062,14688858.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.542445256159855,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.706250025762962
2020-02-17,580.1450820402947,583.9337846168844,575.1487073930117,576.4274291992188,10152690.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.527032976319802,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.727408616538408
2020-02-18,576.3090515064869,577.0667804849288,569.9629629163823,574.5804443359375,10529116.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.49971071502866,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.765106290404239
2020-02-19,578.9610502483681,582.5129585321005,574.8882069785566,581.1868896484375,10012268.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.597439195982803,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.631370425594346
2020-02-20,582.512918882666,582.512918882666,574.9828622714942,576.4036254882812,11123414.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.52668085041836,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.727892922730128
2020-02-24,572.5439902897593,575.2908228585611,568.3054022887617,573.017578125,16568084.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.476591392381655,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.797194812277384
2020-02-25,570.1997004329769,572.5676393882633,567.3581736866331,568.4474487304688,13886680.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.408985927965514,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.892040355000832
2020-02-26,567.1214775704135,570.5312871295188,561.5094728410021,567.9502563476562,13814786.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.401631011060003,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.902450829887536
2020-02-27,565.9374182644348,569.489326747266,559.3071890964833,568.0448608398438,20655098.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.403030485796505,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.900468547511313
2020-02-28,556.7024777583055,561.201562010712,554.1450919894718,557.720703125,24313056.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.25030625924556,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,12.120762170245104
